"";"Statistik_Code";"Statistik_Label";"Zeit_Code";"Zeit_Label";"Zeit";"X1_Merkmal_Code";"X1_Merkmal_Label";"X1_Auspraegung_Code";"X1_Auspraegung_Label";"X2_Merkmal_Code";"X2_Merkmal_Label";"X2_Auspraegung_Code";"X2_Auspraegung_Label";"BEV001__Lebendgeborene__Anzahl"
"1";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";8;"Baden-Württemberg";"GES";"Geschlecht";"GESM";"männlich";60680
"2";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";8;"Baden-Württemberg";"GES";"Geschlecht";"GESW";"weiblich";57899
"3";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";8;"Baden-Württemberg";"GES";"Geschlecht";"";"Insgesamt";118579
"4";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";9;"Bayern";"GES";"Geschlecht";"GESM";"männlich";69950
"5";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";9;"Bayern";"GES";"Geschlecht";"GESW";"weiblich";66172
"6";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";9;"Bayern";"GES";"Geschlecht";"";"Insgesamt";136122
"7";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";11;"Berlin";"GES";"Geschlecht";"GESM";"männlich";19351
"8";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";11;"Berlin";"GES";"Geschlecht";"GESW";"weiblich";18245
"9";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";11;"Berlin";"GES";"Geschlecht";"";"Insgesamt";37596
"10";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";12;"Brandenburg";"GES";"Geschlecht";"GESM";"männlich";15078
"11";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";12;"Brandenburg";"GES";"Geschlecht";"GESW";"weiblich";14160
"12";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";12;"Brandenburg";"GES";"Geschlecht";"";"Insgesamt";29238
"13";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";4;"Bremen";"GES";"Geschlecht";"GESM";"männlich";3588
"14";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";4;"Bremen";"GES";"Geschlecht";"GESW";"weiblich";3307
"15";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";4;"Bremen";"GES";"Geschlecht";"";"Insgesamt";6895
"16";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";2;"Hamburg";"GES";"Geschlecht";"GESM";"männlich";8689
"17";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";2;"Hamburg";"GES";"Geschlecht";"GESW";"weiblich";8004
"18";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";2;"Hamburg";"GES";"Geschlecht";"";"Insgesamt";16693
"19";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";6;"Hessen";"GES";"Geschlecht";"GESM";"männlich";31815
"20";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";6;"Hessen";"GES";"Geschlecht";"GESW";"weiblich";30211
"21";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";6;"Hessen";"GES";"Geschlecht";"";"Insgesamt";62026
"22";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";13;"Mecklenburg-Vorpommern";"GES";"Geschlecht";"GESM";"männlich";11951
"23";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";13;"Mecklenburg-Vorpommern";"GES";"Geschlecht";"GESW";"weiblich";11552
"24";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";13;"Mecklenburg-Vorpommern";"GES";"Geschlecht";"";"Insgesamt";23503
"25";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";3;"Niedersachsen";"GES";"Geschlecht";"GESM";"männlich";42505
"26";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";3;"Niedersachsen";"GES";"Geschlecht";"GESW";"weiblich";39947
"27";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";3;"Niedersachsen";"GES";"Geschlecht";"";"Insgesamt";82452
"28";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";5;"Nordrhein-Westfalen";"GES";"Geschlecht";"GESM";"männlich";102383
"29";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";5;"Nordrhein-Westfalen";"GES";"Geschlecht";"GESW";"weiblich";96911
"30";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";5;"Nordrhein-Westfalen";"GES";"Geschlecht";"";"Insgesamt";199294
"31";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";7;"Rheinland-Pfalz";"GES";"Geschlecht";"GESM";"männlich";21961
"32";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";7;"Rheinland-Pfalz";"GES";"Geschlecht";"GESW";"weiblich";20771
"33";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";7;"Rheinland-Pfalz";"GES";"Geschlecht";"";"Insgesamt";42732
"34";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";10;"Saarland";"GES";"Geschlecht";"GESM";"männlich";5803
"35";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";10;"Saarland";"GES";"Geschlecht";"GESW";"weiblich";5407
"36";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";10;"Saarland";"GES";"Geschlecht";"";"Insgesamt";11210
"37";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";14;"Sachsen";"GES";"Geschlecht";"GESM";"männlich";25507
"38";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";14;"Sachsen";"GES";"Geschlecht";"GESW";"weiblich";24165
"39";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";14;"Sachsen";"GES";"Geschlecht";"";"Insgesamt";49672
"40";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";15;"Sachsen-Anhalt";"GES";"Geschlecht";"GESM";"männlich";16486
"41";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";15;"Sachsen-Anhalt";"GES";"Geschlecht";"GESW";"weiblich";15351
"42";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";15;"Sachsen-Anhalt";"GES";"Geschlecht";"";"Insgesamt";31837
"43";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";1;"Schleswig-Holstein";"GES";"Geschlecht";"GESM";"männlich";14936
"44";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";1;"Schleswig-Holstein";"GES";"Geschlecht";"GESW";"weiblich";14110
"45";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";1;"Schleswig-Holstein";"GES";"Geschlecht";"";"Insgesamt";29046
"46";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";16;"Thüringen";"GES";"Geschlecht";"GESM";"männlich";14696
"47";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";16;"Thüringen";"GES";"Geschlecht";"GESW";"weiblich";14084
"48";12612;"Statistik der Geburten";"JAHR";"Jahr";1990;"DLAND";"Bundesländer";16;"Thüringen";"GES";"Geschlecht";"";"Insgesamt";28780
"49";12612;"Statistik der Geburten";"JAHR";"Jahr";1991;"DLAND";"Bundesländer";8;"Baden-Württemberg";"GES";"Geschlecht";"GESM";"männlich";60363
"50";12612;"Statistik der Geburten";"JAHR";"Jahr";1991;"DLAND";"Bundesländer";8;"Baden-Württemberg";"GES";"Geschlecht";"GESW";"weiblich";57165
