Statistik_Code;Statistik_Label;Zeit_Code;Zeit_Label;Zeit;1_Merkmal_Code;1_Merkmal_Label;1_Auspraegung_Code;1_Auspraegung_Label;2_Merkmal_Code;2_Merkmal_Label;2_Auspraegung_Code;2_Auspraegung_Label;3_Merkmal_Code;3_Merkmal_Label;3_Auspraegung_Code;3_Auspraegung_Label;BEV001__Lebendgeborene__Anzahl
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT01;Januar;49505
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT02;Februar;47177
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT03;März;53604
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT04;April;49606
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT05;Mai;50932
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT06;Juni;47795
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT07;Juli;47377
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT08;August;46297
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT09;September;47342
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT10;Oktober;47370
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT11;November;45319
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT12;Dezember;45867
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;MONAT;Monate;MONAT01;Januar;46331
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;MONAT;Monate;MONAT02;Februar;44298
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;MONAT;Monate;MONAT03;März;49499
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;MONAT;Monate;MONAT04;April;46030
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;MONAT;Monate;MONAT05;Mai;47046
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;MONAT;Monate;MONAT06;Juni;44566
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;MONAT;Monate;MONAT07;Juli;44324
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;MONAT;Monate;MONAT08;August;43163
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;MONAT;Monate;MONAT09;September;44363
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;MONAT;Monate;MONAT10;Oktober;43885
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;MONAT;Monate;MONAT11;November;42065
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESW;weiblich;MONAT;Monate;MONAT12;Dezember;42940
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;MONAT;Monate;MONAT01;Januar;95836
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;MONAT;Monate;MONAT02;Februar;91475
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;MONAT;Monate;MONAT03;März;103103
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;MONAT;Monate;MONAT04;April;95636
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;MONAT;Monate;MONAT05;Mai;97978
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;MONAT;Monate;MONAT06;Juni;92361
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;MONAT;Monate;MONAT07;Juli;91701
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;MONAT;Monate;MONAT08;August;89460
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;MONAT;Monate;MONAT09;September;91705
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;MONAT;Monate;MONAT10;Oktober;91255
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;MONAT;Monate;MONAT11;November;87384
12612;Statistik der Geburten;JAHR;Jahr;1950;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;;Insgesamt;MONAT;Monate;MONAT12;Dezember;88807
12612;Statistik der Geburten;JAHR;Jahr;1951;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT01;Januar;48747
12612;Statistik der Geburten;JAHR;Jahr;1951;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT02;Februar;46034
12612;Statistik der Geburten;JAHR;Jahr;1951;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT03;März;51546
12612;Statistik der Geburten;JAHR;Jahr;1951;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT04;April;48568
12612;Statistik der Geburten;JAHR;Jahr;1951;DINSG;Deutschland insgesamt;DG;Deutschland;GES;Geschlecht;GESM;männlich;MONAT;Monate;MONAT05;Mai;51257
